Заголовок новости,Ссылка,Рубрика,Дата публикации,Количество просмотров,Частота публикаций,Метка рубрики
«Меняется даже от времени суток»: чем отличаются повышенная и пониженная кислотность желудка и какая вызывает рак,https://ufa1.ru/text/health/2023/01/30/72008444/,Здоровье,2023-01-30 11:00:00,2253,81660,23
"«Вышел к народу и ужаснулся»: жители Башкирии — о ценах в магазинах, которые напугали даже депутата",https://ufa1.ru/text/politics/2023/01/30/72015119/,Политика,2023-01-30 10:08:00,4264,83280,22
Дети лучше справятся: эти вопросы из начальной школы поставят вас в тупик,https://ufa1.ru/text/education/2023/01/30/72001364/,Образование,2023-01-30 10:00:00,2568,85920,16
"В Башкирии похоронили погибшего в спецоперации вагнеровца, который сидел по наркостатье",https://ufa1.ru/text/incidents/2023/01/30/72015014/,Происшествия,2023-01-30 09:02:00,5743,82920,25
«На ремонт квартиры и покупку быков»: на какие цели россияне берут займы под залог автомобиля,https://ufa1.ru/text/gorod/2023/01/30/72009956/,Город,2023-01-30 09:00:00,1625,86280,12
"«Нам впаривают огромную коммуналку». Как засудить коммунальщиков, годами дающих холодную горячую воду. Пример одной семьи",https://ufa1.ru/text/house/2023/01/30/72014486/,Мой дом,2023-01-30 09:00:00,1942,0,14
Будут ли блокировать счета россиян? Что изменилось в законе о недружественных странах,https://ufa1.ru/text/economics/2023/01/30/72014144/,Экономика,2023-01-30 08:00:00,1950,82800,2
"«Больше дорог, больше пробок»: транспортный эксперт — о продлении проспекта Салавата до Черниковки",https://ufa1.ru/text/transport/2023/01/30/72011795/,Дороги и транспорт,2023-01-30 07:50:00,8557,85800,19
"«Глупо говорить, что завтра будет хорошо»: застройщики Башкирии — о ценах на недвижимость",https://ufa1.ru/text/realty/2023/01/30/72001895/,Недвижимость,2023-01-30 07:20:00,15448,84600,4
"Зарплата педагогов, погибшая пенсионерка и вагнеровцы в СВО: итоги недели в Башкирии",https://ufa1.ru/text/gorod/2023/01/30/72014414/,Город,2023-01-30 06:50:00,3428,84600,12
"Умер художник Вячеслав Назарук — создатель кота Леопольда, Мамонтёнка и Крошки Енота",https://ufa1.ru/text/culture/2023/01/29/72014744/,Культура,2023-01-29 20:25:00,1568,48900,6
Почему ограничили доступ к экономической статистике России: новости СВО за 29 января,https://ufa1.ru/text/politics/2023/01/29/72014729/,Политика,2023-01-29 20:20:33,2234,86133,22
«Христос Воскрес! На нашей территории?»: лучшие шутки «полицейской» команды КВН из Башкирии — видео,https://ufa1.ru/text/entertainment/2023/01/29/72007061/,Развлечения,2023-01-29 20:00:00,3816,85167,24
На ремонт можно не скидываться: как выглядят лучшие школы Уфы,https://ufa1.ru/text/education/2023/01/29/72014201/,Образование,2023-01-29 18:25:00,19515,80700,16
Где все эти неудержимые? Что стало с актерами голливудских боевиков 90-х,https://ufa1.ru/text/entertainment/2023/01/29/72011261/,Развлечения,2023-01-29 18:00:00,2122,84900,24
«Летело прямо на дом»: на поселок упало что-то похожее на ракеты. Что это было? Версия жителей и реакция властей,https://ufa1.ru/text/world/2023/01/29/72014048/,Страна и мир,2023-01-29 17:30:00,3921,84600,18
"«Один человек стоит голый, а остальные шуршат карандашами». Откровения натурщиков о заработке и слитых фото",https://ufa1.ru/text/culture/2023/01/29/72011666/,Культура,2023-01-29 17:00:00,2280,84600,6
В Башкирии похоронили погибшего в спецоперации депутата,https://ufa1.ru/text/incidents/2023/01/29/72014273/,Происшествия,2023-01-29 16:50:00,6334,85800,25
В Уфе горит частный дом. Видео,https://ufa1.ru/text/incidents/2023/01/29/72014279/,Происшествия,2023-01-29 16:07:00,6470,83820,25
Николай Дроздов попал в больницу. У него сломаны несколько ребер,https://ufa1.ru/text/incidents/2023/01/29/72014288/,Происшествия,2023-01-29 16:03:00,2166,86160,25
"Садитесь, два! Эту детскую задачу могут решить только 2% взрослых — а вы внимательнее первоклассника?",https://ufa1.ru/text/entertainment/2023/01/29/72010604/,Развлечения,2023-01-29 16:00:00,2022,86220,24
В городе Башкирии Минэкологии выявило в воздухе загрязняющие вещества. Данные направлены в прокуратуру,https://ufa1.ru/text/ecology/2023/01/29/72014186/,Экология,2023-01-29 15:35:00,2210,84900,15
"Для тех, у кого отпуск в феврале. Подборка главных горнолыжек страны с ценами и прогнозом погоды",https://ufa1.ru/text/entertainment/2023/01/29/72011480/,Развлечения,2023-01-29 15:00:00,1447,84300,24
За это его и любят в Уфе: самые дикие выходки капитана ХК «Салават Юлаев»,https://ufa1.ru/text/sport/2023/01/29/72013802/,Спорт,2023-01-29 14:20:00,10353,84000,1
Самый модный цветок: как вырастить эустому из семян и правильно ухаживать за рассадой (соседки обзавидуются!),https://ufa1.ru/text/gorod/2023/01/29/71999891/,Город,2023-01-29 14:00:00,1772,85200,12
"«Если бы не Варя, они бы сгорели»: как четырехлетняя девочка спасла соседей от пожара",https://ufa1.ru/text/incidents/2023/01/29/72012206/,Происшествия,2023-01-29 13:30:00,1696,84600,25
Брачные танцы: в Уфе камера видеонаблюдения засняла неадекватных мужчин — видео,https://ufa1.ru/text/entertainment/2023/01/29/72013895/,Развлечения,2023-01-29 13:30:00,5879,0,24
"Вновь потеря обоняния и рост госпитализаций как при дельте: эксперты — о том, что ухудшение ситуации с ковидом началось с регионов",https://ufa1.ru/text/world/2023/01/29/72012617/,Страна и мир,2023-01-29 13:00:00,2052,84600,18
Нас ждет потепление: синоптики дали прогноз погоды в Уфе на начало февраля,https://ufa1.ru/text/winter/2023/01/29/72013784/,Зима,2023-01-29 12:50:00,2739,85800,13
"Сколько-сколько? Чиновники прогнозируют, что в Башкирии средняя зарплата составит 133 тысячи рублей",https://ufa1.ru/text/economics/2023/01/29/72013811/,Экономика,2023-01-29 11:20:00,13688,81000,2
"«Подозреваем, его ударили в родзале»: у матери на месяц забрали новорожденного сына из-за синяка на голове",https://ufa1.ru/text/family/2023/01/29/72011750/,Семья,2023-01-29 11:00:00,2012,85200,26
"В Минздраве рассказали, из-за чего в больнице Уфы умерла за сутки до дня рождения 60-летняя пенсионерка",https://ufa1.ru/text/incidents/2023/01/29/72013766/,Происшествия,2023-01-29 10:05:00,3876,83100,25
